"","ID","Lat","Lon","Year","Miss Tmax","Miss Tmin","Miss Prcp","Avg Temp","Avg Tmax","Avg Tmin","ToT Prcp","Max Tmax","Min Tmax","Max Tmin","Min Tmin","Warm Days","Warm Nights","Cold Days","Cold Nights","Max 1-day P","Max 5-day P","Wet Days"
"1937-12-31","USW00023183",33.4278,-112.0039,1937,0,0,0,71.28,85.31,57.24,5.37,114,39,86,21,10.41,17.26,12.88,10.41,1.14,1.53,4.84
"1938-12-31","USW00023183",33.4278,-112.0039,1938,0,0,0,71.11,85.25,56.98,5.6,112,55,86,31,7.95,11.23,6.85,10.14,1.13,1.19,5.15
"1939-12-31","USW00023183",33.4278,-112.0039,1939,0,0,0,71.53,85.55,57.52,9.46,114,47,84,28,8.22,15.34,12.6,12.05,2.91,3.74,8.63
"1940-12-31","USW00023183",33.4278,-112.0039,1940,0,0,0,72.92,86.52,59.32,8.48,115,55,88,29,12.33,14.52,7.67,5.75,1.33,2.18,7.73
"1941-12-31","USW00023183",33.4278,-112.0039,1941,0,0,0,69.86,83,56.72,17.67,110,52,85,30,5.75,7.12,10.68,4.11,1.16,2.75,16.69
"1942-12-31","USW00023183",33.4278,-112.0039,1942,0,0,0,71,85.48,56.53,4.98,116,52,86,28,9.59,12.33,7.4,10.14,0.57,1.11,4.41
"1943-12-31","USW00023183",33.4278,-112.0039,1943,0,0,0,72.25,86.13,58.36,9.88,115,49,88,30,7.12,13.42,7.12,5.48,2.12,2.44,9.11
"1944-12-31","USW00023183",33.4278,-112.0039,1944,0,0,0,69.72,83.41,56.02,8.26,113,48,84,31,9.04,10.41,14.25,12.05,0.93,1.46,7.51
"1945-12-31","USW00023183",33.4278,-112.0039,1945,0,0,0,70.22,84.09,56.35,4.29,113,51,84,27,9.04,15.34,11.78,12.05,0.54,0.69,3.72
"1946-12-31","USW00023183",33.4278,-112.0039,1946,0,0,0,70.91,84.75,57.07,9.88,112,49,85,30,7.12,13.7,12.05,10.68,1.46,2.83,9.28
"1947-12-31","USW00023183",33.4278,-112.0039,1947,0,0,0,71.58,85.37,57.78,3.22,113,49,86,27,11.51,12.6,10.68,12.05,0.42,0.49,2.54
"1948-12-31","USW00023183",33.4278,-112.0039,1948,0,0,0,70.75,84.7,56.8,3.94,113,49,84,27,9.86,14.25,14.79,14.79,0.75,0.9,3.42
"1949-12-31","USW00023183",33.4278,-112.0039,1949,0,0,0,70.77,84.29,57.25,6.24,112,42,85,24,7.12,12.6,17.26,12.88,0.74,1.05,5.33
"1950-12-31","USW00023183",33.4278,-112.0039,1950,0,0,0,72.73,87.37,58.09,3.96,116,47,85,23,7.67,10.14,6.03,5.21,0.75,0.84,3.29
"1951-12-31","USW00023183",33.4278,-112.0039,1951,0,0,0,71.07,84.6,57.55,12.82,112,52,85,29,7.67,11.51,10.96,10.41,2.43,3.85,12.15
"1952-12-31","USW00023183",33.4278,-112.0039,1952,0,0,0,71.22,84.64,57.8,11.06,112,53,84,29,9.59,13.97,20,10.14,1.16,1.4,10.28
"1953-12-31","USW00023183",33.4278,-112.0039,1953,0,0,0,71.01,85.41,56.61,2.83,113,51,85,25,12.6,13.7,9.86,11.23,0.48,0.86,2.4
"1954-12-31","USW00023183",33.4278,-112.0039,1954,0,0,0,72.16,86.12,58.19,4.31,112,50,86,24,5.75,15.07,9.59,9.59,0.81,1.13,3.59
"1955-12-31","USW00023183",33.4278,-112.0039,1955,0,0,0,69.59,83.34,55.84,9.82,112,50,84,26,3.01,7.4,12.88,14.52,1.15,3.42,9.2
"1956-12-31","USW00023183",33.4278,-112.0039,1956,0,0,0,69.83,84.23,55.42,2.82,110,51,83,27,3.29,7.67,10.68,13.97,0.61,0.61,2.3
"1957-12-31","USW00023183",33.4278,-112.0039,1957,0,0,0,70.7,83.11,58.3,7.6,112,53,86,31,6.03,14.79,10.41,7.12,1.05,1.51,6.74
"1958-12-31","USW00023183",33.4278,-112.0039,1958,0,0,0,72.73,85.59,59.87,8.12,118,51,87,30,15.34,22.47,9.04,7.95,1.52,1.59,7.4
"1959-12-31","USW00023183",33.4278,-112.0039,1959,0,0,0,72.06,84.72,59.41,8.4,112,50,87,32,9.59,20.82,12.33,6.3,1,1.84,7.89
"1960-12-31","USW00023183",33.4278,-112.0039,1960,0,0,0,71.07,84.13,58.01,3.39,114,47,86,27,11.23,16.99,15.62,15.89,0.57,0.83,2.81
"1961-12-31","USW00023183",33.4278,-112.0039,1961,0,0,0,70.25,85.16,55.35,4.43,114,52,88,31,11.23,11.51,7.12,12.33,0.62,0.94,3.38
"1962-12-31","USW00023183",33.4278,-112.0039,1962,0,0,0,70.62,85.81,55.44,3.9,113,46,86,22,14.52,9.04,11.23,9.59,0.71,1.06,2.68
"1963-12-31","USW00023183",33.4278,-112.0039,1963,0,0,0,70.97,85.61,56.33,7.24,112,45,85,20,6.03,10.14,10.41,11.78,1.03,1.43,6.8
"1964-12-31","USW00023183",33.4278,-112.0039,1964,0,1,0,67.88,82.46,53.29,6,112,45,86,20,5.75,7.12,15.62,23.01,1.5,1.72,5.31
"1965-12-31","USW00023183",33.4278,-112.0039,1965,0,0,0,68.7,83.37,54.02,11.19,113,48,84,28,7.95,7.67,16.71,10.41,0.96,1.34,10.13
"1966-12-31","USW00023183",33.4278,-112.0039,1966,0,0,0,70.61,85.78,55.43,7.27,113,44,87,25,10.68,12.6,13.42,21.37,1.73,2.16,6.72
"1967-12-31","USW00023183",33.4278,-112.0039,1967,0,0,0,70.13,84.68,55.58,8.34,110,44,86,21,5.75,13.97,9.86,16.99,1.43,2.75,7.84
"1968-12-31","USW00023183",33.4278,-112.0039,1968,0,0,0,70.26,84.97,55.55,6.67,115,44,85,24,7.67,8.77,10.14,12.88,0.81,1.13,6
"1969-12-31","USW00023183",33.4278,-112.0039,1969,0,0,0,71.4,85,57.81,6.94,114,53,89,27,10.68,17.81,10.96,11.23,1.33,1.89,5.86
"1970-12-31","USW00023183",33.4278,-112.0039,1970,0,0,0,71.47,85.51,57.43,7.63,116,55,91,26,13.42,20.82,8.22,10.14,2.43,2.73,7.13
"1971-12-31","USW00023183",33.4278,-112.0039,1971,0,0,0,70.56,84.42,56.7,3.59,114,44,89,19,13.15,18.63,12.6,14.79,0.69,0.78,2.85
"1972-12-31","USW00023183",33.4278,-112.0039,1972,0,0,0,72.5,86.13,58.86,10.87,116,47,90,26,9.04,17.81,6.85,11.51,1.69,2.39,10.45
"1973-12-31","USW00023183",33.4278,-112.0039,1973,0,0,0,72.04,86.02,58.06,6.01,115,51,91,31,15.34,15.89,12.88,8.22,1.02,1.3,5.1
"1974-12-31","USW00023183",33.4278,-112.0039,1974,0,0,0,73.15,86.9,59.4,8.18,116,52,89,26,14.52,18.08,9.32,11.23,1.04,1.4,7.63
"1975-12-31","USW00023183",33.4278,-112.0039,1975,0,0,0,71.09,85.01,57.16,4.51,116,49,88,27,11.51,15.89,14.52,9.86,0.79,0.82,4.12
"1976-12-31","USW00023183",33.4278,-112.0039,1976,0,0,0,72.83,85.44,60.23,7.96,113,50,92,26,6.85,18.08,6.03,6.58,0.96,1.39,7.02
"1977-12-31","USW00023183",33.4278,-112.0039,1977,0,0,0,74.86,87.57,62.16,3.16,114,47,89,31,15.62,24.93,6.3,2.74,0.5,0.89,2.26
"1978-12-31","USW00023183",33.4278,-112.0039,1978,0,0,0,73.69,86.42,60.97,15.23,115,46,88,26,17.26,18.63,12.6,3.56,1.24,1.96,13.98
"1979-12-31","USW00023183",33.4278,-112.0039,1979,0,0,0,72.45,86.05,58.85,6.8,117,49,89,29,17.81,16.99,13.97,7.4,0.85,1.51,6.06
"1980-12-31","USW00023183",33.4278,-112.0039,1980,0,0,0,74.08,86.48,61.67,6.06,115,55,90,35,14.25,20.82,5.48,1.1,0.79,1.59,5.13
"1981-12-31","USW00023183",33.4278,-112.0039,1981,0,0,0,76.11,88.09,64.12,6.72,114,56,90,34,16.44,27.67,4.11,1.64,0.88,1.33,6.36
"1982-12-31","USW00023183",33.4278,-112.0039,1982,0,0,0,73.46,85.07,61.84,9.94,113,51,91,34,11.51,20.27,12.33,3.84,0.78,1.56,8.75
"1983-12-31","USW00023183",33.4278,-112.0039,1983,0,0,0,74.1,85.4,62.79,12.81,116,52,92,34,15.62,25.21,10.68,2.74,1.98,2.54,11.78
"1984-12-31","USW00023183",33.4278,-112.0039,1984,0,0,0,74.12,86.39,61.86,14.91,113,54,88,36,10.68,21.37,10.14,2.47,1.9,2.88,14.38
"1985-12-31","USW00023183",33.4278,-112.0039,1985,0,0,0,74.26,85.96,62.57,7.92,115,43,91,28,15.89,24.38,11.51,3.29,0.98,0.98,6.74
"1986-12-31","USW00023183",33.4278,-112.0039,1986,0,0,0,75.74,87.67,63.81,7.61,115,51,89,37,12.88,24.11,4.38,1.37,0.7,1.16,7.03
"1987-12-31","USW00023183",33.4278,-112.0039,1987,0,0,0,75.06,86.99,63.13,8.4,115,47,90,29,14.25,24.66,10.41,4.93,1.46,2.01,7.26
"1988-12-31","USW00023183",33.4278,-112.0039,1988,0,0,0,75.97,88.05,63.88,7.21,116,50,90,31,17.81,26.03,9.86,2.74,2.32,2.38,6.37
"1989-12-31","USW00023183",33.4278,-112.0039,1989,0,0,0,76.98,89.81,64.15,4.94,118,50,93,33,18.9,24.66,7.4,4.66,1.19,1.23,4.42
"1990-12-31","USW00023183",33.4278,-112.0039,1990,0,0,0,75.12,87.12,63.13,7.73,122,46,93,26,12.88,23.84,11.78,4.93,1.2,2.36,6.88
"1991-12-31","USW00023183",33.4278,-112.0039,1991,0,0,0,75.1,86.66,63.55,8.35,113,50,89,36,13.7,25.21,9.32,0.82,1.12,1.16,7.8
"1992-12-31","USW00023183",33.4278,-112.0039,1992,0,0,0,75.35,86.86,63.84,14.24,113,54,91,36,14.25,25.21,11.23,0.82,1.66,2.01,13.11
"1993-12-31","USW00023183",33.4278,-112.0039,1993,0,0,0,74.74,86.21,63.26,13.34,114,53,90,35,11.78,24.11,9.59,1.1,1.58,3.57,12.36
"1994-12-31","USW00023183",33.4278,-112.0039,1994,0,0,0,73.78,85.58,61.97,8.78,117,52,90,35,15.34,24.11,12.05,2.47,1.36,1.72,8.39
"1995-12-31","USW00023183",33.4278,-112.0039,1995,0,0,0,74.28,86.2,62.37,9.51,121,53,92,37,14.52,21.37,9.32,1.1,1.59,2.37,8.56
"1996-12-31","USW00023183",33.4278,-112.0039,1996,0,0,0,75.16,87.09,63.22,4.36,115,55,91,34,15.07,23.29,7.12,4.11,0.5,0.57,3.85
"1997-12-31","USW00023183",33.4278,-112.0039,1997,0,0,0,74.78,86.17,63.39,4.67,114,50,90,33,11.23,26.85,11.51,3.01,0.7,0.78,3.54
"1998-12-31","USW00023183",33.4278,-112.0039,1998,0,0,0,72.53,83.87,61.19,10.53,117,48,91,32,11.23,21.1,14.79,2.47,1.02,1.26,9.89
"1999-12-31","USW00023183",33.4278,-112.0039,1999,0,0,0,74.3,86.47,62.13,6.61,111,58,90,35,8.22,23.29,5.75,1.92,1.24,2.45,5.83
"2000-12-31","USW00023183",33.4278,-112.0039,2000,0,0,0,74.82,86.35,63.29,7.87,113,52,91,32,14.52,30.14,7.67,1.64,1.53,2.77,7.58
"2001-12-31","USW00023183",33.4278,-112.0039,2001,0,0,0,75.91,87.38,64.45,6.72,116,48,92,36,18.63,31.23,13.7,2.74,0.74,0.88,6.2
"2002-12-31","USW00023183",33.4278,-112.0039,2002,0,0,0,76.07,88.05,64.09,2.82,113,49,92,36,21.37,27.95,6.85,2.47,0.77,0.77,2.46
"2003-12-31","USW00023183",33.4278,-112.0039,2003,0,0,0,76.43,87.87,64.98,6.82,117,52,96,32,18.08,29.32,5.75,0.82,1.42,1.77,6.28
"2004-12-31","USW00023183",33.4278,-112.0039,2004,0,0,0,75.09,86.49,63.69,7.98,112,54,91,35,13.7,24.11,11.51,3.01,1.11,1.19,7.08
"2005-12-31","USW00023183",33.4278,-112.0039,2005,0,0,0,75.64,86.91,64.37,7.04,116,55,93,35,15.62,27.4,8.22,1.1,0.93,1.6,6.22
"2006-12-31","USW00023183",33.4278,-112.0039,2006,0,0,0,75.56,87.25,63.87,5.45,118,50,95,35,14.52,26.85,7.12,2.74,1.4,1.44,4.82
"2007-12-31","USW00023183",33.4278,-112.0039,2007,0,0,0,76.44,87.98,64.9,5.05,116,46,93,29,20,30.41,12.33,4.38,1.23,1.28,4.27
"2008-12-31","USW00023183",33.4278,-112.0039,2008,0,0,0,75.34,86.9,63.77,9.58,115,51,95,34,15.62,27.12,11.23,1.92,1.3,2.14,8.99
"2009-12-31","USW00023183",33.4278,-112.0039,2009,0,0,0,76.1,87.92,64.27,3.26,115,55,95,35,17.53,26.85,9.59,1.37,0.69,1.26,2.91
"2010-12-31","USW00023183",33.4278,-112.0039,2010,0,0,0,75.25,86.56,63.94,9.14,114,48,94,32,17.53,27.95,9.86,1.1,1.33,2.39,8.16
"2011-12-31","USW00023183",33.4278,-112.0039,2011,0,0,0,75.34,87.24,63.45,4.66,118,44,93,30,18.63,27.12,11.51,3.56,0.74,0.81,3.94
"2012-12-31","USW00023183",33.4278,-112.0039,2012,0,0,0,76.71,88.69,64.73,4.28,116,56,93,37,15.62,27.12,5.75,0.82,0.8,1.2,3.63
"2013-12-31","USW00023183",33.4278,-112.0039,2013,0,0,0,76,87.72,64.28,8.42,119,45,93,29,19.73,29.32,11.51,3.84,1.6,2.43,8.06
"2014-12-31","USW00023183",33.4278,-112.0039,2014,0,0,0,77.18,88.9,65.45,8.37,116,50,94,35,14.52,29.86,4.11,1.64,3.3,3.3,7.91
"2015-12-31","USW00023183",33.4278,-112.0039,2015,0,0,0,76.75,88.07,65.42,7.15,117,46,93,31,17.81,30.14,7.95,4.11,0.93,0.93,6.29
"2016-12-31","USW00023183",33.4278,-112.0039,2016,0,0,0,76.75,88.48,65.01,6.19,118,54,91,34,15.62,25.75,7.4,1.92,0.6,1.13,5.54
"2017-12-31","USW00023183",33.4278,-112.0039,2017,0,0,0,77.32,89.23,65.41,4.96,119,53,95,35,17.26,26.58,6.3,1.37,0.92,0.93,4.59
"2018-12-31","USW00023183",33.4278,-112.0039,2018,0,0,0,76.48,88.19,64.78,9.29,116.1,52,93.9,34,17.26,29.32,5.48,1.1,2.36,2.75,8.49
"2019-12-31","USW00023183",33.4278,-112.0039,2019,0,0,0,75.03,86.36,63.71,5.93,115,46.9,93,30.2,17.26,25.75,10.68,4.38,1.01,1.33,4.87
"2020-12-31","USW00023183",33.4278,-112.0039,2020,0,0,0,77.26,89.55,64.98,5,118,55,93.9,35.1,23.84,29.86,6.58,1.37,1.04,1.78,4.74
"2021-12-31","USW00023183",33.4278,-112.0039,2021,0,0,0,76.39,88.22,64.57,7.11,118,53.1,93,36,15.34,25.21,6.03,0.82,1,1.3,6.42
